winter,small_,medium,8.00000,9.80000,60.80000,6.23800,578.00000,105.00000,170.00000,50.00000,0.00000,0.00000,0.00000,0.00000,34.20000,8.30000,0.00000
spring,small_,medium,8.35000,8.00000,57.75000,1.28800,370.00000,428.75000,558.75000,1.30000,1.40000,7.60000,4.80000,1.90000,6.70000,0.00000,2.10000
autumn,small_,medium,8.10000,11.40000,40.02000,5.33000,346.66699,125.66700,187.05701,15.60000,3.30000,53.60000,1.90000,0.00000,0.00000,0.00000,9.70000
spring,small_,medium,8.07000,4.80000,77.36400,2.30200,98.18200,61.18200,138.70000,1.40000,3.10000,41.00000,18.90000,0.00000,1.40000,0.00000,1.40000
autumn,small_,medium,8.06000,9.00000,55.35000,10.41600,233.70000,58.22200,97.58000,10.50000,9.20000,2.90000,7.50000,0.00000,7.50000,4.10000,1.00000
winter,small_,high__,8.25000,13.10000,65.75000,9.24800,430.00000,18.25000,56.66700,28.40000,15.10000,14.60000,1.40000,0.00000,22.50000,12.60000,2.90000
summer,small_,high__,8.15000,10.30000,73.25000,1.53500,110.00000,61.25000,111.75000,3.20000,2.40000,1.20000,3.20000,3.90000,5.80000,6.80000,0.00000
autumn,small_,high__,8.05000,10.60000,59.06700,4.99000,205.66701,44.66700,77.43400,6.90000,18.20000,1.60000,0.00000,0.00000,5.50000,8.70000,0.00000
winter,small_,medium,8.70000,3.40000,21.95000,0.88600,102.75000,36.30000,71.00000,5.54400,25.40000,5.40000,2.50000,0.00000,0.00000,0.00000,0.00000
winter,small_,high__,7.93000,9.90000,8.00000,1.39000,5.80000,27.25000,46.60000,0.80000,17.00000,0.00000,0.00000,2.90000,0.00000,0.00000,1.70000
spring,small_,high__,7.70000,10.20000,8.00000,1.52700,21.57100,12.75000,20.75000,0.80000,16.60000,0.00000,0.00000,0.00000,1.20000,0.00000,6.00000
summer,small_,high__,7.45000,11.70000,8.69000,1.58800,18.42900,10.66700,19.00000,0.60000,32.10000,0.00000,0.00000,0.00000,0.00000,0.00000,1.50000
